,pw,x1,x2,x3
0,1,"""CEN_USA""","""NDC_USA""","""="""
1,1,"""CEN_Midwest""","""NDC_Midwest""","""="""
2,1,"""CEN_Northeast""","""NDC_USA""","""<"""
3,1,"""CEN_Northeast""","""NDC_Northeast""","""<"""
4,1,"""CEN_Midwest""","""NDC_USA""","""<"""
5,1,"""CEN_South""","""NDC_USA""","""<"""
6,1,"""CEN_West""","""NDC_USA""","""<"""
7,1,"""CEN_South""","""NDC_Northeast""","""o"""
8,1,"""CEN_South""","""NDC_Southwest""","""o"""
9,1,"""CEN_West""","""NDC_Southwest""","""o"""
10,1,"""CEN_Northeast""","""NDC_Midwest""","""!"""
11,1,"""CEN_Northeast""","""NDC_Southeast""","""!"""
12,1,"""CEN_Northeast""","""NDC_Southwest""","""!"""
13,1,"""CEN_Northeast""","""NDC_West""","""!"""
14,1,"""CEN_Midwest""","""NDC_Northeast""","""!"""
15,1,"""CEN_Midwest""","""NDC_Southeast""","""!"""
16,1,"""CEN_Midwest""","""NDC_Southwest""","""!"""
17,1,"""CEN_Midwest""","""NDC_West""","""!"""
18,1,"""CEN_South""","""NDC_Midwest""","""!"""
19,1,"""CEN_South""","""NDC_West""","""!"""
20,1,"""CEN_West""","""NDC_Midwest""","""!"""
21,1,"""CEN_West""","""NDC_Northeast""","""!"""
22,1,"""CEN_West""","""NDC_Southeast""","""!"""
23,1,"""CEN_USA""","""NDC_Midwest""",""">"""
24,1,"""CEN_USA""","""NDC_Northeast""",""">"""
25,1,"""CEN_USA""","""NDC_Southeast""",""">"""
26,1,"""CEN_USA""","""NDC_Southwest""",""">"""
27,1,"""CEN_USA""","""NDC_West""",""">"""
28,1,"""CEN_South""","""NDC_Southeast""",""">"""
29,1,"""CEN_West""","""NDC_West""",""">"""
